timestamp,src_ip,dest_ip,protocol,port,system,action,event
4/3/2026 3:44,3.169.109.178,197.210.12.79,TCP,443,MobileApp,ALLOW,DATA_REQUEST
4/3/2026 3:44,244.57.148.236,197.210.19.245,TCP,443,WebPortal,ALLOW,LOGIN_SUCCESS
4/3/2026 3:44,10.20.100.82,10.21.90.221,TCP,8080,InternalAPI,ALLOW,TRANSFER
4/3/2026 3:44,172.16.129.112,10.21.29.243,TCP,8080,InternalAPI,ALLOW,PING
4/3/2026 3:44,12.65.201.1,197.210.9.82,TCP,80,WebPortal,ALLOW,DATA_REQUEST
4/3/2026 3:44,227.19.216.51,197.210.30.164,TCP,80,WebPortal,ALLOW,PING
4/3/2026 3:44,82.214.158.200,197.210.20.105,TCP,443,MobileApp,ALLOW,DATA_REQUEST
4/3/2026 3:44,172.16.211.71,172.16.172.197,TCP,443,InternalAPI,ALLOW,DATA_REQUEST
4/3/2026 3:44,10.20.210.113,172.16.248.156,TCP,22,ATM,ALLOW,TRANSFER
4/3/2026 3:44,183.133.195.139,197.210.28.65,TCP,80,WebPortal,ALLOW,PING
4/3/2026 3:44,187.198.87.153,197.210.7.196,TCP,80,WebPortal,ALLOW,PING
4/3/2026 3:44,10.20.109.145,192.168.154.155,TCP,443,InternalAPI,ALLOW,LOGIN_SUCCESS
4/3/2026 3:44,10.254.69.175,197.210.3.149,TCP,443,WebPortal,ALLOW,DATA_REQUEST
4/3/2026 3:44,10.20.212.164,172.20.135.78,TCP,8080,InternalAPI,ALLOW,PING
4/3/2026 3:44,172.20.167.159,172.20.46.24,TCP,8080,InternalAPI,ALLOW,DATA_REQUEST
4/3/2026 3:44,192.168.6.230,192.168.205.161,TCP,22,ATM,ALLOW,DATA_REQUEST
4/3/2026 3:44,90.221.32.184,197.210.22.247,TCP,80,WebPortal,ALLOW,DATA_REQUEST
4/3/2026 3:44,192.168.169.34,10.20.201.33,TCP,3306,CoreBanking,ALLOW,LOGIN_SUCCESS
4/3/2026 3:44,172.16.183.115,10.20.165.10,TCP,22,CoreBanking,ALLOW,DATA_REQUEST
4/3/2026 3:44,10.20.5.136,192.168.139.62,TCP,8080,InternalAPI,ALLOW,DATA_REQUEST
4/3/2026 3:44,98.16.204.194,197.210.14.218,TCP,80,WebPortal,ALLOW,PING
4/3/2026 3:44,192.168.101.69,10.21.175.63,TCP,22,ATM,ALLOW,LOGIN_SUCCESS
4/3/2026 3:44,192.168.211.113,10.21.1.46,TCP,22,ATM,ALLOW,PING
4/3/2026 3:44,254.151.138.223,197.210.12.133,TCP,443,MobileApp,ALLOW,DATA_REQUEST
4/3/2026 3:44,201.24.22.168,197.210.15.40,TCP,443,WebPortal,ALLOW,DATA_REQUEST
4/3/2026 3:44,61.117.45.60,197.210.24.238,TCP,80,WebPortal,ALLOW,PING
4/3/2026 3:44,157.55.218.167,197.210.5.190,TCP,80,WebPortal,ALLOW,DATA_REQUEST
4/3/2026 3:44,165.7.27.249,197.210.27.125,TCP,443,MobileApp,ALLOW,DATA_REQUEST
4/3/2026 3:44,75.213.98.72,197.210.14.76,TCP,443,WebPortal,ALLOW,DATA_REQUEST
4/3/2026 3:44,192.168.142.183,172.20.102.101,TCP,3306,CoreBanking,ALLOW,TRANSFER
4/3/2026 3:45,172.20.243.11,192.168.239.160,TCP,22,ATM,ALLOW,LOGIN_SUCCESS
4/3/2026 3:45,144.131.235.110,197.210.22.13,TCP,443,WebPortal,ALLOW,PING
4/3/2026 3:45,10.20.20.164,10.20.156.54,TCP,22,CoreBanking,ALLOW,PING
4/3/2026 3:45,172.20.18.203,172.20.253.142,TCP,22,CoreBanking,ALLOW,PING
4/3/2026 3:45,152.178.125.99,197.210.9.133,TCP,443,MobileApp,ALLOW,PING
4/3/2026 3:45,23.11.203.230,197.210.24.191,TCP,443,WebPortal,ALLOW,DATA_REQUEST
4/3/2026 3:45,214.118.10.37,197.210.17.41,TCP,443,MobileApp,ALLOW,PING
